id,Title,Director,Vote_Average,Genre,Year,Original_Language,Overview,Poster_Url,Trailer,Price
27,Indiana Jones e os Caçadores da Arca Perdida,Steven Spielberg,7.9,Aventura,1981,Inglês,"Em 1936, o professor e arqueólogo Indiana Jones é contratado pelo governo para encontrar a Arca da Aliança, que segundo as escrituras bíblicas conteria ""Os Dez Mandamentos"" que Deus revelou a Moisés no Monte Horeb. Mas como a lenda diz que o exército que a possuir será invencível, Indiana Jones terá um adversário de peso na busca pela arca perdida: o regime nazista de Adolf Hitler.",https://image.tmdb.org/t/p/w500/vPDnnfUAgLz7yWQVCK4gJAKFy0m.jpg,https://www.youtube.com/watch?v=JsxYJs4UyJI,20
28,Guerra nas Estrelas: O Império Contra-Ataca,Irvin Kershner,8.4,Aventura,1980,Inglês,"As forças imperais comandadas por Darth Vader lançam um ataque contra os membros da resistência, que são obrigados a fugir. Enquanto isso Luke Skywalker tenta encontrar o Mestre Yoda, que poderá ensiná-lo a dominar a ""Força"" e torná-lo um cavaleiro jedi. No entanto, Darth Vader planeja levá-lo para o lado negro da ""Força"".",https://image.tmdb.org/t/p/w500/dLGT8b4Ut10z44uYLaip4QiwKta.jpg,https://www.youtube.com/watch?v=4KnAyxgZ3Vo,17
29,O Enigma de Outro Mundo,John Carpenter,8.1,Terror,1982,Inglês,"Na remota Antártida, um grupo de cientistas americanos é perturbado em sua base quando, de um helicóptero, alguém atira em um cão do acampamento. À medida que socorrem o cão baleado, o bicho começa a atacar os cientistas e os outros cachorros e logo eles descobrem que o animal pode assumir a forma de suas vítimas. Isto significa que membros da equipe podem ser mortos e a cópia assumir o lugar deles. Com isso, um piloto e um médico precisam capturar a fera antes que seja tarde demais.",https://image.tmdb.org/t/p/w500/bazlgJAKWCBF7OllC3JtyJ2DV1n.jpg,https://www.youtube.com/watch?v=NYE078FMFJQ,18
30,Guerra nas Estrelas: O Retorno de Jedi,Richard Marquand,7.9,Aventura,1983,Inglês,"O imperador está supervisionando a construção de uma nova Estrela da Morte. Enquanto isso Luke Skywalker liberta Han Solo e a Princesa Leia das mãos de Jaba. Luke só se tornará um cavaleiro jedi quando destruir Darth Vader, que ainda pretende atraí-lo para o lado sombrio da Força.",https://image.tmdb.org/t/p/w500/a4jlKpK1IzTtOtTdAzrgWm8jvmS.jpg,https://www.youtube.com/watch?v=BT-fVW24-q4,18
31,Os Irmãos Cara de Pau,John Landis,7.7,Música,1980,Inglês,"Após deixar a cadeia Jake reencontra seu irmão Elwood e juntos vão para o orfanato onde foram criados. Lá eles descobrem que o local será fechado se uma dívida de US$ 5 mil com a prefeitura não for paga. Como a freira que dirige o orfanato não aceita de forma alguma dinheiro ganho desonestamente, Jake e Elwood decidem por retomar a The Blues Brothers Band, na intenção de realizar um grande show e arrecadar a quantia necessária para pagar a dívida.",https://image.tmdb.org/t/p/w500/N6bV5I9eNCwODbZ4XOtqK0IcTH.jpg,https://www.youtube.com/watch?v=Vb5DHpzRiLE,12
32,Um Lobisomem Americano em Londres,John Landis,7.4,Comédia,1981,Inglês,"Os americanos David e Jack viajam de mochila às costas pela Grã-Bretanha quando são atacados por um lobo. David sobrevive com uma mordida, mas Jack não resiste. Enquanto se recupera no hospital, David é atormentado por pesadelos com seu amigo mutilado, que o avisa que ele está virando um lobisomem.",https://image.tmdb.org/t/p/w500/gKvCDhPcykUyUILZqf78eN0skE8.jpg,https://www.youtube.com/watch?v=VJbkLFJ_bOs,16
33,A Escolha de Sofia,Alan J. Pakula,7.3,Drama,1982,Inglês,"Em 1947, Stingo, um jovem aspirante a escritor vindo do sul, vai morar no Brooklyn na casa de Yetta Zimmerman, que alugava quartos. Lá conhece Sofia Zawistowska, sua vizinha do andar de cima, que é polonesa e fora prisioneira em um campo de concentração e Nathan Landau, seu namorado, um carismático judeu dono de um temperamento totalmente instável. Em pouco tempo tornam-se amigos, sendo que Stingo não tem a menor ideia dos segredos que Sofia esconde nem da insanidade de Nathan.",https://image.tmdb.org/t/p/w500/ctLYu6QeZRv4QejRxzUt4R9U1ie.jpg,https://www.youtube.com/watch?v=Z0tdw5cEwcQ,16
34,Popeye,Robert Altman,5.5,Ação,1980,Inglês,"Numa noite de tempestade, o rabugento de bom-coração marinheiro Popeye chega em um pequeno barco ao porto da comunidade litorânea de Sweethaven. Ele aluga um quarto na pensão da família Palito e rapidamente se apaixona pela filha dos proprietários, Olívia. Olívia está perturbada pois fora prometida em casamento para o Capitão Brutus (que é chamado pelo nome original das tiras, Bluto), um encrenqueiro rufião que oprime a comunidade cobrando impostos abusivos para o seu chefe, o misterioso Comodoro.  Popeye conta que está a procura de seu pai, o Vovô Popeye, que sua mãe falecida lhe contara em sonho que ainda estaria vivo e morando naquele lugar. Ninguém lhe dá atenção, até que Popeye mostra sua força ao enfrentar um bando de valentões na taverna.",https://image.tmdb.org/t/p/w500/hCCp4pESgYY6uTFARYf4UYV1BdU.jpg,https://www.youtube.com/watch?v=FXTyss9UAwM,12
35,O Enigma do Mal,Sidney J. Furie,6.7,Terror,1982,Inglês,Uma mulher é atormentada e abusada sexualmente por um demônio invisível.,https://image.tmdb.org/t/p/w500/ngNkrCyyb3duHOpwwGy4ARgLhzo.jpg,https://www.youtube.com/watch?v=-tsBzOi6uig,10
36,Uma Professora Muito Especial,Alan Myerson,5.8,Comédia,1981,Inglês,"Nicole Mallow, é uma mulher de uns 30 e poucos anos de idade, imigrante francesa que chega aos Estados Unidos, e arruma emprego como empregada doméstica de uma rica família. Sua tarefa também será cuidar do filho dos patrões, Phillip, o adolescente de 15 anos. Não demora muito e Nicole, fica amiga do motorista da família, um homem inescrupuloso que força a emprega a seduzir o garoto, iniciando-o sexualmente. O plano é forjar a morte da empregada e colocar a culpa no garoto, para depois chantagear a família. O problema é que a moça se apaixona pelo menino.",https://image.tmdb.org/t/p/w500/6SvDKOeMzxoSRgBGNGZ3PBdyFK.jpg,https://www.youtube.com/watch?v=nfhDVjianrc,20
