Nome do filme,Diretor,Avaliação,Número de votos,Sinopse,Gênero,Ano de lançamento,Língua,Link para a capa,Trailer,Duração
8½,Federico Fellini,8.134,2363,"Prestes a rodar sua próxima obra, o cineasta Guido Anselmi (Marcello Mastroianni) ainda não tem idéia de como será o filme. Mergulhado em uma crise existencial e pressionado pelo produtor, pela mulher, pela amante e pelos amigos, ele se interna em uma estação de águas e passa a misturar o passado com o presente, ficção com realidade.",Drama,1963,it,https://image.tmdb.org/t/p/w500/nQkrZRxnvrkb6BV7ZYmdwJoFGDt.jpg,,139
Por um Punhado de Dólares,Sergio Leone,7.833,4390,"Joe (Clint Eastwood) é um pistoleiro barra pesada que chega a uma cidade que está em guerra. Quando percebem o potencial de Joe, ambas as partes se interessam por contratá-lo; é quando ele percebe que pode ganhar um dinheiro com a situação aceitando a proposta dos dois lados.  Um pistoleiro misterioso (Clint  Eastwood) chega em San Miguel, uma cidade muito rude onde dois grupos rivais de contrabandistas aterrorizavam os cidadãos pobres. Rápido no gatilho, o estranho recebe ofertas de emprego das duas gangues.",Faroeste,1964,it,https://image.tmdb.org/t/p/w500/jaF2Pr2JucNk0pALCBDDPOGU9lQ.jpg,https://www.youtube.com/watch?v=kYITXX-LoR4,100
007 Contra Goldfinger,Guy Hamilton,7.35,3661,"James Bond é encarregado de espionar Goldfinger, um poderoso milionário cujas remessas de ouro espalhadas por diversos países podem esconder ações criminosas. Após ser capturado, Bond descobre que o plano de Goldfinger é bem maior do que ele imaginava: Goldfinger pretende roubar nada mais nada menos do que as reservas americanas de ouro, guardadas no Forte Knox.",Aventura,1964,en,https://image.tmdb.org/t/p/w500/aSFbyik1bd3xQxyPQbahdcaCYwT.jpg,,110
Mary Poppins,Robert Stevenson,7.6,4765,"Na Londres de 1910, o banqueiro Mr. Banks, um homem frio que trata com rigidez Jane e Michael, seus filhos sapecas, não consegue contratar uma babá, pois elas desistem facilmente do emprego. Em uma noite, enquanto redige com sua esposa um anúncio de jornal procurando uma babá, sua filha Jane aparece com uma carta mostrando como seria uma babá perfeita. Esta carta acaba chegando nas mãos de Mary Poppins, que é tudo aquilo que está descrito na carta. Mary Poppins possui poderes mágicos e, com seu amigo faz-tudo Bert, transforma a vida daquela família, com muita música, magia e diversão.",Comédia,1964,en,https://image.tmdb.org/t/p/w500/ei8hhYCMfURfPOXKBnyl61be2iV.jpg,,139
Dr. Fantástico,Stanley Kubrick,8.117,5774,"Depois que o insano General Jack D. Ripper ordena um ataque nuclear contra a União Soviética, uma sala de guerra cheia de políticos, generais e um diplomata russo tentam freneticamente impedir o ataque de se concretizar.",Comédia,1964,en,https://image.tmdb.org/t/p/w500/gSTwvjt8BmZ3IwlpsltNzasamgt.jpg,,95
Minha Bela Dama,George Cukor,7.5,1336,"Henry Higgins (Rex Harrison), um intelectual e professor de fonética, aposta que conseguirá, no período máximo de seis meses, transformar Eliza Doolittle (Audrey Hepburn), uma simples florista de rua que não sabe falar direito, em uma dama. Mas a tarefa se mostra muito mais difícil do que tinha sido imaginada originalmente.",Música,1964,en,https://image.tmdb.org/t/p/w500/iWJFnvGmiZE3DTvbabadhOULyo.jpg,,170
"Marnie, Confissões de uma Ladra",Alfred Hitchcock,7.132,1151,"Marnie é uma mulher perturbada psicologicamente que vai trabalhar para Mark Rutland e tenta roubá-lo. Só que Mark acaba casando com ela e tenta ajudá-la a curar sua doença, confrontando o seu passado.",Thriller,1964,en,https://image.tmdb.org/t/p/w500/k8aqM3kBwBqWWBBh4a6172nCJL6.jpg,,130
A Noviça Rebelde,Robert Wise,7.729,3369,"No final da década de 1930, na Áustria, quando o pesadelo nazista estava prestes a se instaurar no país, uma noviça que vive em um convento, mas não consegue seguir as rígidas normas de conduta das religiosas, vai trabalhar como governanta na casa do capitão Von Trapp, que é viúvo, tem sete filhos e os educa como se fizessem parte de um regimento. Sua chegada modifica drasticamente o padrão da família, trazendo alegria novamente ao lar da família Von Trapp e conquistando o carinho e o respeito das crianças. Mas ela termina se apaixonando pelo capitão, que está comprometido com uma rica baronesa.",Drama,1965,en,https://image.tmdb.org/t/p/w500/nF9wgSkAvjzJi6fF4oa8GcojTof.jpg,,174
Por uns Dólares a Mais,Sergio Leone,8.018,4125,"Monco é um astuto caçador de recompensas, que perambula pelas cidades do velho oeste americano em busca de um novo alvo. Ele o encontra quando vê o cartaz de procurado de Índio, um perigoso bandido que também está sendo procurado pelo coronel Douglas Mortimer, outro caçador de recompensas. Os dois partem no encalço de Índio mas, sem conseguir capturar o bandido nem eliminar o rival, eles precisam decidir entre unir forças ou serem eliminados pela gangue de Índio.",Faroeste,1965,it,https://image.tmdb.org/t/p/w500/1oh6GjdcCbUE6Tlr2ZTSl2XdmSE.jpg,,132
007 Contra a Chantagem Atômica,Terence Young,6.667,2392,"James Bond (Sean Connery) tenta evitar a destruição de Miami por meio de uma super bomba, roubada pela SPECTRE. A organização está exigindo um pagamento de 100 milhões de dólares em diamantes para não cumprir a ameaça de explodir a cidade. Para isso, ele vai correr contra o tempo para encontrar as armas roubadas e impedir a morte de milhões de inocentes.",Aventura,1965,en,https://image.tmdb.org/t/p/w500/ot8pEGo9Mljwkz7Ak8hv4qjBmsu.jpg,,130
