Nome do filme,Diretor,Ano de lançamento,Língua,Sinopse,Link para a capa,Trailer
A Bela e a Fera,Gary Trousdale,1991,en,"Em uma pequena aldeia da França vive Belle, uma jovem inteligente que é considerada estranha pelo moradores da localidade, e seu pai, Maurice, um inventor que é visto como um louco. Ela é cortejada por Gaston, que quer casar com ela. Mas apesar de todas as jovens do lugarejo o acharem um homem bonit",https://image.tmdb.org/t/p/w500/4Fu9voTUOBXuWaKrOIEyfgzgQ0i.jpg,https://www.youtube.com/watch?v=MZsYDpafGTY
O Poderoso Chefão: Parte III,Francis Ford Coppola,1990,en,"Don Michael Corleone está envelhecendo e, com a ajuda do sobrinho Vicente Mancini, busca a legitimação dos interesses da família, em Nova York e na Itália, antes de sua morte. Mas seu protegido não está só interessado em parte do império da família. Ele também deseja a filha de Michael, Mary.",https://image.tmdb.org/t/p/w500/sLvNxyDfM9cHS3jwG0rEa7eR4lh.jpg,https://www.youtube.com/watch?v=3X7EMv27QDE
Advogado do Diabo,Taylor Hackford,1997,en,"Kevin Lomax, advogado de uma pequena cidade da Flórida que nunca perdeu um caso, é contratado por John Milton, dono da maior firma de advocacia de Nova York. No início tudo parece correr bem, mas Mary Ann, a esposa do advogado, começa a testemunhar aparições demoníacas. Kevin está empenhado em defen",https://image.tmdb.org/t/p/w500/qL17FxDhLDeTdgZxOg2MQrY8PMv.jpg,https://www.youtube.com/watch?v=vdPlMRhERDk
Edward Mãos de Tesoura,Tim Burton,1990,en,"Peg Boggs é uma vendedora que acidentalmente descobre Edward, jovem que mora sozinho em um castelo no topo de uma montanha, criado por um inventor que morreu antes de dar mãos ao estranho ser, que possui apenas enormes lâminas no lugar delas. Isto o impede de poder se aproximar dos humanos, a não se",https://image.tmdb.org/t/p/w500/sJJv9F6s31pNE1aXUKsWtGspeE4.jpg,https://www.youtube.com/watch?v=4XKjYC-_GJM
Ghost in the Shell: O Fantasma do Futuro,Mamoru Oshii,1995,ja,"Major Motoko Kusanagi, uma ciborgue do Setor de Segurança Pública 9, recebe a missão de capturar um hacker que está dominando a mente de humanos aperfeiçoados por computador. Mas ela acaba se envolvendo em uma trama de conspirações, que atinge interesses da alta cópula da política.",https://image.tmdb.org/t/p/w500/4YgDy47HKxcSwUPQWrg0J39lEZA.jpg,https://www.youtube.com/watch?v=HGhZA8AV7C4
O Quinto Elemento,Luc Besson,1997,fr,"No século XXIII, um motorista de taxi de Nova York se envolve em uma aventura na qual tem de deter um ser demoníaco que percorre a galáxia a cada cinco mil anos. Se nada for feito, a Terra será destruída. Mas para isto, ele precisa encontrar quatro pedras antigas que representam os elementos e coloc",https://image.tmdb.org/t/p/w500/yDTfuFwJUl3JRBGEEb5jS6QhCW3.jpg,https://www.youtube.com/watch?v=qR5s3PzLiw0
Jurassic Park: O Parque dos Dinossauros,Steven Spielberg,1993,en,"Um parque construído por um milionário tem dinossauros diversos como habitantes, extintos a sessenta e cinco milhões de anos. Isto é possível por ter sido encontrado um inseto fossilizado, que tinha sugado sangue destes dinossauros, de onde pôde-se isolar o DNA, o código químico da vida e, a partir ",https://image.tmdb.org/t/p/w500/mgjJ7FH4V3exsmoHwXrmsUhn0h1.jpg,https://www.youtube.com/watch?v=n7RP4ph-kHY
Dilwale vai levar a noiva,Aditya Chopra,1995,hi,"Raj e Simran são dois jovens indianos vivendo em Londres que, acidentalmente, se conhecem durante uma viagem pela Europa. Eles se apaixonam, mas Simran está prometida a um indiano. Raj não desanima e segue seu amor até a Índia, onde os dois tentam convencer a todos que precisam ficar juntos.",https://image.tmdb.org/t/p/w500/2CAL2433ZeIihfX1Hb2139CX0pW.jpg,https://www.youtube.com/watch?v=EIKZ7amRGwk
Ghost: Do Outro Lado da Vida,Jerry Zucker,1990,en,"Sam Wheat é um jovem executivo apaixonado por sua namorada, Molly. Ele acaba morto em um assalto, mas seu espírito não vai para o outro plano e descobre que Molly também corre perigo. Para salvá-la, Sam pede ajuda a uma médium que consegue ouvi-lo.",https://image.tmdb.org/t/p/w500/nGSeOwr3XRP2M7bBjcOol8vi2jT.jpg,https://www.youtube.com/watch?v=Svorm23zipw
Alien: A Ressurreição,Jean-Pierre Jeunet,1997,en,"Duzentos anos após seu suicídio, Ripley acorda. Cientistas conseguiram tirar a rainha alienígena de seu corpo e criaram alienígenas que escaparam, provocando terror. Eles precisam ser detidos.",https://image.tmdb.org/t/p/w500/ccDrEYas2aNIyjJvEl9FbwDjo5l.jpg,https://www.youtube.com/watch?v=ZWAQxiEGPxg
