Nome do filme,Diretor,Ano de lançamento,Língua,Sinopse,Link para a capa,Trailer
Spirit: O Corcel Indomável,Kelly Asbury,2002,en,"No final do século XVII em pleno Oeste norte-americano vive Spirit, um cavalo que resiste a ser domado pelo homem. Ele se apaixona por uma égua local, chamada Chuva, e desenvolve uma grande amizade com um jovem índio Lakota chamado Pequeno Rio. Juntos eles acompanham a colonização do local onde vive",https://image.tmdb.org/t/p/w500/jycgp5AdZFKj2Qh2VACG9ilK93l.jpg,https://www.youtube.com/watch?v=fxRg2cSAbTE
Filhos da Esperança,Alfonso Cuarón,2006,en,"No ano de 2027, a infertilidade é uma ameaça real para a civilização, e o último humano a nascer em anos acaba de morrer. Frente a um cenário pessimista sobre o futuro, um burocrata desiludido se torna o herói improvável que pode salvar a humanidade. Para isso, ele enfrenta seus próprios demônios e ",https://image.tmdb.org/t/p/w500/3pJNB7VYy2Xwii1SmU8GMxDEmeT.jpg,https://www.youtube.com/watch?v=nz57XKJUb88
Motoqueiro Fantasma,Mark Steven Johnson,2007,en,"Johnny Blaze trabalha como dublê e piloto de motocicleta. Há muito tempo, ele fez um pacto com Mefisto para proteger as duas pessoas que mais amava: seu pai, Barton, e sua namorada de adolescência, Roxanne Simpson. Em troca, Johnny se transforma no Motoqueiro Fantasma, o justiceiro de alguns demônio",https://image.tmdb.org/t/p/w500/vVGVlwRrvVgLPE98rwo8jo3QC2b.jpg,https://www.youtube.com/watch?v=O2kpzDn-vQY
Ponyo - Uma Amizade que Veio do Mar,Hayao Miyazaki,2008,ja,"Sosuke é um garoto de cinco anos que mora em um penhasco com vista para o Mar Interior. Um dia, ao brincar na praia, encontra Ponyo, um peixinho dourado cuja cabeça está presa em um pote de geleia. Ele salva a peixinho e a coloca em um balde verde. Trata-se de amor à primeira vista, já que Sosuke pr",https://image.tmdb.org/t/p/w500/cvpsmNWc8nyePJMbyMc9X5lLN6L.jpg,https://www.youtube.com/watch?v=t7BbO9laBfw
A Órfã,Jaume Collet-Serra,2009,en,"Kate e John Coleman ficam arrasados devido a um trágico aborto. Apesar de já ter 2filhos, o casal decide adotar uma criança. Eles se encantam pela pequena Esther e optam rapidamente por sua adoção. O que eles não sabiam é que estranhos acontecimentos fazem parte do histórico da menina que passa a se",https://image.tmdb.org/t/p/w500/9tdcvT3ZyPBluzmQTevgn503jpg.jpg,https://www.youtube.com/watch?v=cB5zcyckRzc
Madagascar 2: A Grande Escapada,Eric Darnell,2008,en,"Alex, Marty, Melman, Gloria, Rei Julien, Maurice, os pinguins e os chimpanzés estão no longínquo litoral de Madagascar. Para deixar o local os pinguins consertam um velho avião de guerra, mas logo em seu 1º voo ele cai. Isto faz com que os animais do zoológico de Nova York tenham que lidar, pela 1ª ",https://image.tmdb.org/t/p/w500/j4If0LljCT2v6CZc86ah3kTshDw.jpg,https://www.youtube.com/watch?v=_jVuR927NjU
Círculo de Fogo,Jean-Jacques Annaud,2001,en,"Vasily Zaitsev é um jovem atirador russo que, convencido por um companheiro político, torna-se o ícone da propaganda russa em plena 2ª Guerra Mundial. A fama de Vasily o torna uma lenda viva para o exército russo e desperta também a atenção do exército nazista, que envia seu melhor atirador de elite",https://image.tmdb.org/t/p/w500/1bg6gOkYPiwViSFMHMvnwD96ren.jpg,https://www.youtube.com/watch?v=R7J3RJcxv58
O Operário,Brad Anderson,2004,en,"O operário Trevor Reznik sofre tanto de insônia, que está prejudicando seu peso e sua saúde mental. Quando Trevor involuntariamente provoca um acidente de trabalho que fere um colega, ele começa a se tornar ainda mais problemático e, apesar de um relacionamento com Stevie, uma bonita prostituta, Tre",https://image.tmdb.org/t/p/w500/xU4BxDFlEVxdUfWN8pLtBcFI5zB.jpg,https://www.youtube.com/watch?v=EkNF7MCIy2M
O Patriota,Roland Emmerich,2000,en,"Benjamin Martin é um veterano de guerra que renunciou às armas e decidiu viver em paz com sua família. Mas, quando os ingleses trazerem a Guerra da Independência até o seu quintal, Benjamin não vê outra saída a não ser pegar nas armas novamente, desta vez acompanhado de seu filho idealista, liderand",https://image.tmdb.org/t/p/w500/oe26GVJTIEFLW8WjGMj1K0MbWUJ.jpg,https://www.youtube.com/watch?v=lmkDiJrzNjo
American Pie 2: A Segunda Vez é Ainda Melhor,J.B. Rogers,2001,en,"Ao término do primeiro ano da faculdade, Jim (Jason Biggs), Oz (Chris Klein), Kevin (Thomas Ian Nicholas), Stifler (Seann William Scott) e Finch (Eddie Kaye Thomas) mais uma vez se reencontram. Mas agora Nadia (Shannon Elizabeth) está prestes a vir visitar Jim, que ainda não se sente preparado sexua",https://image.tmdb.org/t/p/w500/kjeavq1VD0ZRBmt2QVFfZlS6ZaG.jpg,https://www.youtube.com/watch?v=1jKz1YAJNPY
Tá Chovendo Hambúrguer,Christopher Miller,2009,en,"Flint Lockwood é um jovem cientista que sonha criar algo que faça com que seja reconhecido pela população de Boca Grande, uma pequena ilha no Atlântico. Um dia ele consegue descobrir uma forma de transformar água em comida, só que precisa de bastante eletricidade para colocá-la em funcionamento. Ao ",https://image.tmdb.org/t/p/w500/2vrHwe0SW9NL8UViemUVALVyECl.jpg,https://www.youtube.com/watch?v=miysealmbGw
Perfume: A História de um Assassino,Tom Tykwer,2006,en,"Jean-Baptiste Grenouille nasceu com o dom de sentir cheiros como nenhuma outra pessoa no mundo. Seu olfato espetacular funcionava praticamente como um sensor, reconhecendo todo o mundo a sua volta. A fixação pelos cheiros do mundo fez com que Grenouille crescesse afastado das outras pessoas e dos va",https://image.tmdb.org/t/p/w500/mjjzpozbBAi5Xd4Y2SWbXKkNQfT.jpg,https://www.youtube.com/watch?v=lA9XDctItAk
O Nevoeiro,Frank Darabont,2007,en,"Após uma violenta tempestade devastar a cidade de Maine, David Drayton e Billy, seu filho de 8 anos, correm rumo ao supermercado, temendo que os suprimentos se esgotem. Porém um estranho nevoeiro toma conta da cidade, o que faz com que David, Billy e outras pessoas fiquem presas no supermercado. Log",https://image.tmdb.org/t/p/w500/nhK5Np3A9wBXAYzropa298TylCa.jpg,https://www.youtube.com/watch?v=51K6l0aiZdc
Sr. Ninguém,Jaco Van Dormael,2009,en,"Marido de Elise (Sarah Polley) e pai de três filhos, Nemo Nobody (Jared Leto) leva uma vida comum ao lado de sua família. Ele acorda no ano de 2092 e agora, com 118 anos, é o último mortal em um planeta de seres humanos imortais. As suas preocupações, contudo, envolvem outras questões, como o que ac",https://image.tmdb.org/t/p/w500/rHi1zLK0bnbrlB42B5xqD1oM2C7.jpg,https://www.youtube.com/watch?v=Fwoe6yHy0AI
O Leitor,Stephen Daldry,2008,en,"Na Alemanha pós-2ª Guerra Mundial o adolescente Michael Berg se envolve, por acaso, com Hanna Schmitz, uma mulher que tem o dobro de sua idade. Apesar das diferenças de classe, os dois se apaixonam e vivem uma bonita história de amor. Até que um dia Hanna desaparece misteriosamente. Oito anos se pas",https://image.tmdb.org/t/p/w500/4diwcF5X2ruYdNKOne0qtuaFKml.jpg,https://www.youtube.com/watch?v=I50ZKFCqr8g
Hellboy,Guillermo del Toro,2004,en,"Já perto do fim da 2ª Guerra Mundial, os nazistas tentam eliminar seus inimigos usando magia negra. Uma das experiências feitas é a tentativa de invocar forças ocultas. Um deste rituais é interrompido pelas forças aliadas, que encontram um garoto com aparência de demônio e a mão direita feita de ped",https://image.tmdb.org/t/p/w500/9ov29KV3ktK0rVLPFxSYvMNSTK1.jpg,https://www.youtube.com/watch?v=Af2sZ8_fk4o
American Pie: O Casamento,Jesse Dylan,2003,en,"Após os eventos do colégio e da faculdade, os garotos estão enfim se tornando adultos. Jim (Jason Biggs) e Michelle (Alyson Hannigan) estão prestes a se casar, já que a avó de Jim adoece e diz que gostaria de vê-lo se casar antes de morrer. Os pais e amigos de Jim já planejam os preparativos para o ",https://image.tmdb.org/t/p/w500/uG1eEKdLIq8Lxlq9AQMtdYQ4rk0.jpg,https://www.youtube.com/watch?v=GY7Q7sxxC0Q
Homem-Aranha 2,Sam Raimi,2004,en,"Dois anos se passaram desde que o tranquilo Peter Parker separou-se do grande amor de sua vida, Mary Jane Watson, e decidiu assumir o compromisso e a responsabilidade de seguir sendo o Homem-Aranha. Peter enfrenta novos desafios enquanto aprende a lidar com ""seu dom e sua maldição"", tentando desespe",https://image.tmdb.org/t/p/w500/y06FivvCfqapHB3iETOtbAqWdkD.jpg,https://www.youtube.com/watch?v=1UAzz8ncM68
Monstros vs Alienígenas,Rob Letterman,2009,en,"Um meteoro atinge Susan, e ela se transforma em uma gigante. Então, o governo a leva para uma área isolada. Quando os alienígenas chegam à Terra, Susan e os outros monstros ajudam a salvar o planeta.",https://image.tmdb.org/t/p/w500/rkV9oqoxun8h0aMQAhUR1rY60a1.jpg,https://www.youtube.com/watch?v=ibJ0wscuP_w
Hancock,Peter Berg,2008,en,"Hancock, um super-herói desajeitado, protege os cidadãos de Los Angeles mas causa danos colaterais a cada ato heroico que realiza. Hancock não se importa com o que as pessoas pensam. Entretanto, após salvar a vida de um executivo, ele conhece a bela esposa dele e descobre que, apesar de tudo, é um h",https://image.tmdb.org/t/p/w500/anUAnDorLJe0J2o9b0Wh3FTxJ7r.jpg,https://www.youtube.com/watch?v=2nEukRHdxJM
Entre Irmãos,Jim Sheridan,2009,en,"Sam Cahill tem tudo sob controle: uma carreira militar de sucesso, uma bela esposa e duas filhas. Seu irmão mais novo, é um vagabundo que vive no limite da lei. Quando Sam é enviado ao Afeganistão, em uma missão da ONU, a harmonia entre os dois irmãos muda para sempre. Sam some e sua esposa é consol",https://image.tmdb.org/t/p/w500/buKRRR6Z6TztAuMUw7DUXCwn4hs.jpg,https://www.youtube.com/watch?v=u-Ex4z3MAjE
A Fuga das Galinhas,Nick Park,2000,en,"No galinheiro de uma fazenda inglesa dos anos 1950, galinhas cumprem sua função e vivem pacatamente sonhando com uma vida melhor. Uma delas, Ginger, sonha com a liberdade e planeja sair voando dali junto com suas companheiras.",https://image.tmdb.org/t/p/w500/hp5shw8xyuYId322rT9am3HrKCQ.jpg,https://www.youtube.com/watch?v=aO_ao9cX_To
Por Água Abaixo,David Bowers,2006,en,"Roddy St. James, o mimado ratinho de estimação, acha que já chegou lá... até que entra literalmente pelo cano e vai parar num submundo de rãs ninjas, ratos-capangas e lesmas cantoras. Esta surpreendente a criativa aventura cômica é uma enxurrada de diversão tanto para crianças quanto para adultos.",https://image.tmdb.org/t/p/w500/qzyUeoCg6fh8nSQD1LFiUiiOs8P.jpg,https://www.youtube.com/watch?v=UVzdqPepzng
A Casa Monstro,Gil Kenan,2006,en,"DJ Walters (Mitchel Musso) é um garoto de 12 anos que acredita que há algo de estranho na casa do velho Nebbercracker (Steve Buscemi), localizada do outro lado da rua. Tudo que passa perto da casa simplesmente desaparece, incluindo triciclos, brinquedos e animais de estimação. Na véspera do Dia das ",https://image.tmdb.org/t/p/w500/qBEpDF693Bql7roL6LY3SsNHg52.jpg,https://www.youtube.com/watch?v=XG0SsmJrc0o
Jogos Mortais II,Darren Lynn Bousman,2005,en,"O detetive Eric Matthews consegue prender Jigsaw, o qual está morrendo. O que ele desconhece é que isso faz parte de um plano ainda maior do assassino sádico, que agora mantém o filho do policial como refém e pretende torná-lo uma de suas vítimas.",https://image.tmdb.org/t/p/w500/ojWbOjvfeFNrf8keesvyerryyVo.jpg,https://www.youtube.com/watch?v=uLHV28f9dOU
60 Segundos,Dominic Sena,2000,en,"Randall ""Memphis"" Raines abandonou a vida criminosa há tempos, mas a visita de um amigo o força a retornar à atividade. Para salvar a vida do irmão, ele não tem outra saída senão fazer o que faz de melhor: roubar carros. É apenas uma noite, 50 carros e um contrato.",https://image.tmdb.org/t/p/w500/8TZwcOERoTh4gDCEu2MKLoYI7lx.jpg,https://www.youtube.com/watch?v=BPOtla0tipY
Anjos da Noite: A Rebelião,Patrick Tatopoulos,2009,en,"Viktor, o cruel rei dos vampiros, tem perseguido e escravizado os lycans, uma linhagem de lobisomens nascidos humanos, por séculos. Este tirano ancião exige prata dos nobres, com o propósito de manter o controle dos seus escravos bestiais. Enquanto cresce, o jovem Lucian se apaixona pela filha de Vi",https://image.tmdb.org/t/p/w500/atPv2WJzlD76ZQP3wjaixZooR1l.jpg,https://www.youtube.com/watch?v=IhCXwwJKOzE
Sim Senhor,Peyton Reed,2008,en,"A vida de Carl Allen tem sido um tropeço só – um divórcio melancólico e um trabalho sem grandes perspectivas. Só que agora ele resolveu viver a vida e dizer ""Sim"" para tudo. Pular de bung-jump? Sim. Aceitar todas as promoções que aparecem na TV? Sim. Aprender coreano? Sim. Pegar um avião sem destino",https://image.tmdb.org/t/p/w500/vP7CLW9G6HCSwUKVJiEDmRC1eeV.jpg,https://www.youtube.com/watch?v=20q61tjlZZ8
007 Quantum of Solace,Marc Forster,2008,en,"Após a morte de Vesper Lynd, James Bond faz com que sua próxima missão seja pessoal. A caçada àqueles envolvidos na morte da mulher de sua vida o leva ao encontro do cruel empresário Dominic Greene, que faz parte da organização que coagiu Vesper. Bond descobre que Greene planeja obter o controle tot",https://image.tmdb.org/t/p/w500/fV0ejyUsnqd8BzHcK13C7ZJFEa1.jpg,https://www.youtube.com/watch?v=ZYL47pHXyM0
A Bússola de Ouro,Chris Weitz,2007,en,"Lyra Belacqua (Dakota Blue Richards) é uma órfã que foi criada na Universidade Oxford. No mundo em que vive todas as pessoas têm um ""daemon"", ou seja, uma manifestação de sua própria alma em forma animal. Lyra leva uma vida tranqüila até ela e seu daemon, Pantalaimon, descobrirem a existência de uma",https://image.tmdb.org/t/p/w500/zJMDcGJXFbsT56yTKLE5jdms0VF.jpg,https://www.youtube.com/watch?v=7RHScwM1ims
Billy Elliot,Stephen Daldry,2000,en,"Billy Elliot  é um garoto de 11 anos que vive numa pequena cidade da Inglaterra, onde o principal meio de sustento são as minas da cidade. Obrigado pelo pai a treinar boxe, Billy fica fascinado com a magia do balé, ao qual tem contato através de aulas de dança clássica que são realizadas na mesma ac",https://image.tmdb.org/t/p/w500/nOr5diUZxphmAD3li9aiILyI28F.jpg,https://www.youtube.com/watch?v=0g1YvKDdIfc
Réquiem para um Sonho,Darren Aronofsky,2000,en,"Sara Goldfarb é uma viúva aposentada que vive em um pequeno apartamento. Ela passa a maior parte do tempo assistindo à TV, especialmente a um programa específico de autoajuda. Ela tem a ilusão de superar sua atual existência monótona sendo convidada para esse programa. Seu filho, Harry, é viciado em",https://image.tmdb.org/t/p/w500/1XoWfP4l4X7sQMH8dhVQOWc91Pd.jpg,https://www.youtube.com/watch?v=S-HiiZilKZk
Desventuras em Série,Brad Silberling,2004,en,"Klaus (Liam Aiken), Violet (Emily Browning) e Sunny (Kara Hoffman e Shelby Hoffman) são três irmãos que repentinamente recebem a notícia de que seus pais morreram em um incêndio. Como são menores de idade eles não podem ainda herdar a fortuna de seus pais, o que apenas ocorrerá quando Violet, a mais",https://image.tmdb.org/t/p/w500/uwyMKPAG56T8SkiwMrmkkB6Gqmc.jpg,https://www.youtube.com/watch?v=G0enad37-wU
17 Outra Vez,Burr Steers,2009,en,"Se de alguma maneira você tivesse a chance, você reviveria sua adolescência? O quase quarentão Mike O'Donnell, sim. Depois de um misterioso momento mágico, Mike recebe a sua chance. Repentinamente, ele está de volta à escola, onde é a estrela da equipe de basquete, popular e colega de classe de seus",https://image.tmdb.org/t/p/w500/1nYYLgmwm4yK29ircaEGKXwXNj3.jpg,https://www.youtube.com/watch?v=6FdiruGWnBc
Pequena Miss Sunshine,Jonathan Dayton,2006,en,"Nenhuma família é verdadeiramente normal, mas a família Hoover extrapola. O pai desenvolveu um método de auto-ajuda que é um fracasso, o filho mais velho fez voto de silêncio, o cunhado é um professor suicida e o avô foi expulso de uma casa de repouso por usar heroína. Nada funciona para o clã, até ",https://image.tmdb.org/t/p/w500/gwLPVYqe1efIxkx6LQT7piZweH2.jpg,https://www.youtube.com/watch?v=bgvljI05-NU
Logan,James Mangold,2017,en,"Em 2029, Logan ganha a vida como chofer de limousine para cuidar do nonagenário Charles Xavier. Debilitado fisicamente e esgotado emocionalmente, ele é procurado por Gabriela, uma mexicana que precisa da ajuda do ex-X-Men para defender a pequena Laura Kinney / X-23. Ao mesmo tempo em que se recusa a",https://image.tmdb.org/t/p/w500/f0CtZbae9cXj8bkWdCHzUHx5lsR.jpg,https://www.youtube.com/watch?v=RWSuAC9CYxo
Corra!,Jordan Peele,2017,en,"Agora que Chris e sua namorada, Rose, chegaram à fase de conhecer os pais no namoro, ela o convida para um fim de semana no interior com Missy e Dean. A princípio, Chris acha que o comportamento excessivamente agradável dos dois como tentativas nervosas de lidar com o relacionamento inter-racial da ",https://image.tmdb.org/t/p/w500/7hmmKIWDHi7jzOiGzffZesXKKfp.jpg,https://www.youtube.com/watch?v=cMM9PbwgO4Y
Megatubarão,Jon Turteltaub,2018,en,"Na fossa mais profunda do Oceano Pacífico, a tripulação de um submarino fica presa dentro do local após ser atacada por uma criatura pré-histórica que se achava estar extinta, um tubarão de mais de 20 metros de comprimento, o Megalodon. Para salvá-los, um oceanógrafo chinês contrata Jonas Taylor, um",https://image.tmdb.org/t/p/w500/93I5nbYx3If3pFZZV5x5NJ68fTs.jpg,https://www.youtube.com/watch?v=SSkGwPj5YHw
Planeta dos Macacos: A Guerra,Matt Reeves,2017,en,"César e seus macacos são forçados a um conflito mortal com um exército de humanos liderado por um coronel implacável. Depois que os macacos sofrem perdas inimagináveis, César luta contra seus instintos mais sombrios e inicia sua própria busca mítica para vingar sua espécie. À medida que a viagem fin",https://image.tmdb.org/t/p/w500/n336SuXSxpQkrzWJbSAeWFcKWy4.jpg,https://www.youtube.com/watch?v=_lX4oRw179k
Liga da Justiça,Zack Snyder,2017,en,"Impulsionado pela restauração de sua fé na humanidade e inspirado pelo ato altruísta do Superman, Bruce Wayne convoca sua nova aliada Diana Prince para o combate contra um inimigo ainda maior, recém-despertado. Juntos, Batman e Mulher-Maravilha buscam e recrutam com agilidade um time de meta-humanos",https://image.tmdb.org/t/p/w500/m5IpGz6M2QiH4MMWsVj4rfO6iyF.jpg,https://www.youtube.com/watch?v=yCXiKRYJ9Jo
Missão: Impossível - Efeito Fallout,Christopher McQuarrie,2018,en,"Em uma perigosa tarefa para recuperar plutônio roubado, Ethan Hunt opta por salvar sua equipe em vez de completar a missão. Com isso, armas nucleares caem nas mãos de agentes altamente qualificados e que pertencem a uma rede mortal que deseja destruir a civilização. Agora, com o mundo em risco, Etha",https://image.tmdb.org/t/p/w500/dheywKL0VNkd0kmRvUlTxVaHul1.jpg,https://www.youtube.com/watch?v=FTjuC70Q5Zs
Até o Último Homem,Mel Gibson,2016,en,"Desmond T. Doss, foi o médico do Exército Americano da Segunda Guerra Mundial, que serviu durante a Batalha de Okinawa, se recusando a matar pessoas, tornando-se o primeiro homem da história americana a receber a Medalha de Honra sem disparar um tiro.",https://image.tmdb.org/t/p/w500/mPnU3yKuZpmLjkVXGplhkpX31LY.jpg,https://www.youtube.com/watch?v=4s4UCxCv_OE
Deadpool 2,David Leitch,2018,en,"Quando o super soldado Cable chega em uma missão para assassinar o jovem mutante Russel, o mercenário Deadpool precisa aprender o que é ser herói de verdade para salvá-lo. Para isso, ele recruta seu velho amigo Colossus e forma o novo grupo X-Force, sempre com o apoio do fiel escudeiro Dopinder.",https://image.tmdb.org/t/p/w500/6CABdPx68rYoLdvXhIJkilOj6XZ.jpg,https://www.youtube.com/watch?v=1P9OzWX6nzE
Invocação do Mal,James Wan,2013,en,"Harrisville, Rhode Island, Estados Unidos, 1968. Os investigadores paranormais Ed e Lorraine Warren trabalham para ajudar uma família aterrorizada por uma presença sombria em sua fazenda. Forçados a confrontar uma entidade poderosa, os Warrens se vêem presos no caso mais aterrorizante de suas vidas.",https://image.tmdb.org/t/p/w500/otILeHmcY6wc64DNXi0T7YYATZK.jpg,https://www.youtube.com/watch?v=yISe0qcRI5c
Premonição 5,Steven Quale,2011,en,"A Morte está mais onipresente do que nunca, e inicia seu ataque após a premonição de um homem que salva um grupo de colegas de trabalho de um terrível colapso em uma ponte suspensa. Mas este grupo de almas inocentes não deveria sobreviver e, em uma aterrorizante corrida contra o tempo, o grupo tenta",https://image.tmdb.org/t/p/w500/jJZPD1eOzLJph5yedRv0dxwk5GA.jpg,https://www.youtube.com/watch?v=8isLR8b4aSI
John Wick 3: Parabellum,Chad Stahelski,2019,en,"Após assassinar o chefe da máfia Santino D'Antonio no Hotel Continental, John Wick passa a ser perseguido pelos membros da Alta Cúpula sob a recompensa de U$14 milhões. Agora, ele precisa unir forças com antigos parceiros que o ajudaram no passado enquanto luta por sua sobrevivência.",https://image.tmdb.org/t/p/w500/bE6XutmB6tcvzTHBx4JGJLlzouM.jpg,https://www.youtube.com/watch?v=tc_RApTFIg8
Interestelar,Christopher Nolan,2014,en,"As reservas naturais da Terra estão chegando ao fim e um grupo de astronautas recebe a missão de verificar possíveis planetas para receberem a população mundial, possibilitando a continuação da espécie. Cooper é chamado para liderar o grupo e aceita a missão sabendo que pode nunca mais ver os filhos",https://image.tmdb.org/t/p/w500/nCbkOyOMTEwlEV0LtCOvCnwEONA.jpg,https://www.youtube.com/watch?v=BYUZhddDbdc
Velozes & Furiosos: Hobbs & Shaw,David Leitch,2019,en,O corpulento policial Luke Hobbs se junta ao fora da lei Deckard Shaw para combater um terrorista geneticamente melhorado que tem força sobre-humana.,https://image.tmdb.org/t/p/w500/w5HWdAJyAbfpXbXDmEt5OIpf6kQ.jpg,https://www.youtube.com/watch?v=gPfosjHCY0I
A Torre Negra,Nikolaj Arcel,2017,en,"Um pistoleiro chamado Roland Deschain percorre o mundo em busca da famosa Torre Negra, prédio mágico que está prestes a desaparecer. Essa busca envolve uma intensa perseguição ao poderoso Homem de Preto, passagens entre tempos diferentes, encontros intensos e confusões entre o real e o imaginário. B",https://image.tmdb.org/t/p/w500/t4IeczvPNloj3IrDm2NjALKMV01.jpg,https://www.youtube.com/watch?v=R6Nz-CIEq9E
Star Wars: Episódio IX - A Ascensão Skywalker,J.J. Abrams,2019,en,"Com o retorno do Imperador Palpatine, todos voltam a temer seu poder e, com isso, a Resistência toma a frente da batalha que ditará os rumos da galáxia. Treinando para ser uma completa Jedi, Rey (Daisy Ridley) ainda se encontra em conflito com seu passado e futuro, mas teme pelas respostas que pode ",https://image.tmdb.org/t/p/w500/uLlrDUtFG2tKtDcJN6kBznlqqsp.jpg,https://www.youtube.com/watch?v=jiRTfUYOHCs
A Vigilante do Amanhã: Ghost in the Shell,Rupert Sanders,2017,en,"Num mundo pós 2029, cérebros se fundem facilmente a computadores e a tecnologia está em todos os lugares. Motoko Kusanagi é uma ciborgue com experiência militar que comanda um esquadrão de elite especializado em combater crimes cibernéticos.",https://image.tmdb.org/t/p/w500/rDVB5QXh4RoYPMUCelxJEtprgy6.jpg,https://www.youtube.com/watch?v=pA5u2tP-9R0
Vingadores: Guerra Infinita,Joe Russo,2018,en,"Homem de Ferro, Thor, Hulk e os Vingadores se unem para combater seu inimigo mais poderoso, o maligno Thanos. Em uma missão para coletar todas as seis pedras infinitas, Thanos planeja usá-las para infligir sua vontade maléfica sobre a realidade.",https://image.tmdb.org/t/p/w500/d6jUbQj4E4R5MJlFYfdzANEZbkL.jpg,https://www.youtube.com/watch?v=4jGRyEa2jhE
Os Vingadores: The Avengers,Joss Whedon,2012,en,"Loki, o irmão de Thor, ganha acesso ao poder ilimitado do cubo cósmico ao roubá-lo de dentro das instalações da S.H.I.E.L.D. Nick Fury, o diretor desta agência internacional que mantém a paz, logo reúne os únicos super-heróis que serão capazes de defender a Terra de ameaças sem precedentes. Homem de",https://image.tmdb.org/t/p/w500/j9hwS307Zlc5mQTbAnwV75vXG0H.jpg,https://www.youtube.com/watch?v=QDvbNyl5xnA
Alien: Covenant,Ridley Scott,2017,en,"Viajando pela galáxia, os tripulantes da nave colonizadora Covenant encontram um planeta remoto com ares de paraíso inexplorado. Encantados, eles acreditam na sorte e ignoram a realidade do local: uma terra sombria que guarda terríveis segredos e tem o sobrevivente David como habitante solitário.",https://image.tmdb.org/t/p/w500/dNJqsL3ekBPUXsSDu6oABGZkJMM.jpg,https://www.youtube.com/watch?v=G2i3QofZDfk
Homem-Aranha: Longe de Casa,Jon Watts,2019,en,"Peter Parker está em uma viagem de duas semanas pela Europa, ao lado de seus amigos de colégio, quando é surpreendido pela visita de Nick Fury. Convocado para mais uma missão heroica, ele precisa enfrentar vários vilões que surgem em cidades-símbolo do continente, como Londres, Paris e Veneza, e tam",https://image.tmdb.org/t/p/w500/tX0o4AdHpidgniTWwfzK0dNTKrc.jpg,https://www.youtube.com/watch?v=MqQdHaBtvGs
Deadpool,Tim Miller,2016,en,"Baseado no anti-herói não convencional da Marvel Comics, Deadpool conta a história da origem do ex-agente das Forças Especiais que se tornou o mercenário Wade Wilson. Depois de ser submetido a um desonesto experimento que o deixa com poderes de cura acelerada, Wade adota o alter ego de Deadpool. Arm",https://image.tmdb.org/t/p/w500/9it1qyyxxSW7TFKnKF7orVF9BpT.jpg,https://www.youtube.com/watch?v=rW-44KuoAdA
Maze Runner: Correr ou Morrer,Wes Ball,2014,en,"Num cenário pós-apocalíptico, uma comunidade de rapazes descobre que estão presos num labirinto misterioso. Juntos, terão de descobrir como escapar, resolver o enigma e revelar o arrepiante segredo acerca de quem os colocou ali e por que razão.",https://image.tmdb.org/t/p/w500/efAJzIyjYlgdO7fzfMBJcFZqI5v.jpg,https://www.youtube.com/watch?v=EwJeYSGzRkM
Parasita,Bong Joon-Ho,2019,ko,"Toda a família de Ki-taek está desempregada, vivendo num porão sujo e apertado. Uma obra do acaso faz com que o filho adolescente da família comece a dar aulas de inglês à garota de uma família rica. Fascinados com a vida luxuosa destas pessoas, pai, mãe, filho e filha bolam um plano para se infiltr",https://image.tmdb.org/t/p/w500/bik2BZjmVjeE6LOZqtuTjb4jJPQ.jpg,https://www.youtube.com/watch?v=ruaBfQWvHKI
A Origem,Christopher Nolan,2010,en,"Cobb é um ladrão habilidoso que comete espionagem corporativa infiltrando-se no subconsciente de seus alvos durante o estado de sono. Impedido de retornar para sua família, ele recebe a oportunidade de se redimir ao realizar uma tarefa aparentemente impossível: plantar uma ideia na mente do herdeiro",https://image.tmdb.org/t/p/w500/9e3Dz7aCANy5aRUQF745IlNloJ1.jpg,https://www.youtube.com/watch?v=R_VX0e0PX90
Your Name,Makoto Shinkai,2016,ja,"Mitsuha é a filha do prefeito de uma pequena cidade, mas sonha em tentar a sorte em Tóquio. Taki trabalha em um restaurante em Tóquio e deseja largar o seu emprego. Os dois não se conhecem, mas estão conectados pelas imagens de seus sonhos.",https://image.tmdb.org/t/p/w500/bMOKAjTU1TNUjRSF7icldbii06u.jpg,https://www.youtube.com/watch?v=soQXM3XVvIU
"Rua Cloverfield, 10",Dan Trachtenberg,2016,en,"Uma jovem sofre um grave acidente de carro e acorda no porão de um desconhecido. O homem diz ter salvado sua vida de um ataque químico que deixou o mundo inabitável, motivo pelo qual eles devem permanecer protegidos no local. Desconfiada da história, ela tenta descobrir um modo de se libertar sob o ",https://image.tmdb.org/t/p/w500/dWcbB4mx56lYudDYt3CRllNi5SZ.jpg,https://www.youtube.com/watch?v=ubOySu4Sd2E
Bird Box,Susanne Bier,2018,en,"Uma misteriosa presença dizima grande parte da sociedade. Cinco anos depois, uma sobrevivente e seus dois filhos saem em busca de um abrigo seguro.",https://image.tmdb.org/t/p/w500/fiqsYTrNpo9MNuWHu7Bb9Tjrv2V.jpg,https://www.youtube.com/watch?v=JeGdtrLQoiY
