id,Title,Director,Vote_Average,Genre,Year,Original_Language,Overview,Poster_Url,Trailer,Price
580,O Espião Que Sabia Demais,Tomas Alfredson,6.616,Drama,2011,Inglês,"Nos anos 70, durante a Guerra Fria, o agente George Smiley recebe uma nova missão: descobrir um infiltrado no serviço secreto britânico, enfrentando um longo caminho de mentiras e traições.",https://image.tmdb.org/t/p/w500/959q2ADFAM9Cnr1cLGwhEuwK9LU.jpg,https://www.youtube.com/watch?v=rbgCk1E3mDE,11
581,Branca de Neve e o Caçador,Rupert Sanders,5.983,Aventura,2012,Inglês,"A Rainha Ravenna quer destruir a Branca de Neve, que é mais bonita do que ela. A rainha contrata um caçador, mas tudo começa a dar errado quando ele ajuda a princesa.",https://image.tmdb.org/t/p/w500/jlXNRuDfoCRLvnVwU41DLO0p3ze.jpg,https://www.youtube.com/watch?v=zeaFgcEKa04,14
582,Piranha 3D,Alexandre Aja,5.404,Comédia,2010,Inglês,"As férias de primavera se tornam um rio de sangue quando um tremor subterrâneo libera centenas de peixes pré-históricos e carnívoros no lago Victoria. Uma policial local, Julie Forester, junta forças com um grupo de desconhecidos para destruir as criaturas vorazes, no intento de que os visitantes não sejam devorados pelos peixes.",https://image.tmdb.org/t/p/w500/e0fZ9F42ZOjkScgdQl2bBCJ1hb0.jpg,https://www.youtube.com/watch?v=6zo3uaqRKzw,11
583,A Viagem,Lana Wachowski,6.885,Drama,2012,Inglês,O filme percorre séculos para revelar a formação das almas e o impacto duradouro das ações. Um escravo em fuga ajuda um advogado em 1849; um compositor na Inglaterra antes da Segunda Guerra tenta terminar a sua obra-prima; um trabalhador geneticamente modificado em 2144 sente o peso da consciência.,https://image.tmdb.org/t/p/w500/hf7Mqgy79fyhgKJ5JmEuyWgh6LA.jpg,https://www.youtube.com/watch?v=1OdClSEpV88,18
584,A Morte do Demônio,Fede Álvarez,6.563,Terror,2013,Inglês,"Um chalé abandonado. Uma antiga maldição. Um mal implacável. Os produtores originais se reúnem para apresentar uma genuinamente aterrorizante reinvenção de suas obras-primas de horror. Para ajudar Mia a se livrar das drogas, cinco amigos se isolam em um chalé na floresta. Quando descobrem o Livro dos Mortos, eles inconscientemente invocam demônios adormecidos. A partir deste acontecimento, os jovens, um após outro, vão sendo possuídos. Cabe a David, irmão de Mia, lutar pela sua sobrevivência e de sua irmã.",https://image.tmdb.org/t/p/w500/7b2oD1oxUxdDft486Q7oPNPzMlf.jpg,https://www.youtube.com/watch?v=JBfub8SbtvU,16
585,Meia Noite em Paris,Woody Allen,7.525,Fantasia,2011,Inglês,"Gil Pender é um jovem escritor em busca da fama. De férias em Paris com sua noiva, ele sai sozinho para explorar a cidade e conhece um grupo de estranhos que são, na verdade, grandes nomes da literatura. Eles levam Gil a uma viagem ao passado e, quanto mais tempo passam juntos, mais o jovem escritor fica insatisfeito com o presente.",https://image.tmdb.org/t/p/w500/qzDVTWnFKimOqQK3QwkiweoLiva.jpg,https://www.youtube.com/watch?v=Amf8r9V7ovs,19
586,O Turista,Florian Henckel von Donnersmarck,6.183,Ação,2010,Inglês,"Durante uma viagem improvisada à Europa para curar um coração partido, o professor de matemática Frank Tupelo se vê em uma situação extraordinária quando uma estranha sedutora, Elise, cruza seu caminho. A paquera aparentemente inocente se transforma em um perigoso jogo de gato e rato.",https://image.tmdb.org/t/p/w500/wfNebr06Hva7H0PAowTqj6uThWE.jpg,https://www.youtube.com/watch?v=SPHqZ1UZukA,18
587,Assim na Terra Como no Inferno,John Erick Dowdle,6.711,Terror,2014,Inglês,"Um grupo de arqueólogos está em busca de um tesouro perdido e, para isso, explora o desconhecido labirinto de ossos nas catacumbas abaixo de Paris. Aquela região, conhecida como a cidade dos mortos, revela um segredo que mexerá com a psique humana de modo que os demônios pessoais de cada um voltarão para assombrá-los.",https://image.tmdb.org/t/p/w500/19K0a2bKxQsh6MCQOIGyV3xbv1F.jpg,https://www.youtube.com/watch?v=6Z6Ir5aK8Hw,10
588,O Lado Bom da Vida,David O. Russell,7.145,Drama,2012,Inglês,"Ao perder o emprego e a esposa, Pat Solatano vai morar com os pais. Ele quer reconstruir sua vida, mas seus pais ficariam felizes se ele simplesmente gostasse tanto do Philadelphia Eagles quanto eles. Tudo se complica quando Pat conhece Tiffany, que oferece ajuda para ele reconquistar a esposa.",https://image.tmdb.org/t/p/w500/5R2ZLkflncVmRzTvSVP7MooxZ0C.jpg,https://www.youtube.com/watch?v=nZTgWcLEYgc,16
589,Debi & Lóide 2,Bobby Farrelly,5.557,Comédia,2014,Inglês,"Passaram-se exatamente vinte anos desde que deixámos Lloyd e Harry com as suas brincadeiras, e tudo agora mudou, menos a sua idiotice. Quando Harry precisa de um rim novo e descobre que tem uma filha, tem de acordar Lloyd do estado com a tose em que ficou desde que Mary o rejeitou, de forma a se meterem à estrada para pedirem a ajuda dela. Cruzando todo o país nos meios de transporte mais loucos, a sua jornada para encontrar a filha perdida leva-os de uma instituição psiquiátrica onde pertencem a uma convenção que reúne os maiores cérebros de todo o mundo.",https://image.tmdb.org/t/p/w500/nvEzon664YC1ygTE56rVJ4IkaEI.jpg,https://www.youtube.com/watch?v=4qDysqSxG64,20
590,Reino Escondido,Chris Wedge,6.532,Animação,2013,Inglês,"A adolescente Mary Katherine (Amanda Seyfried) é magicamente transportada para um universo secreto e vai precisar contar com a ajuda dos seres fantásticos que o habitam para conseguir salvar o mundo dos humanos e este novo reino descoberto de uma força maligna, que ameaça destruir a Terra.",https://image.tmdb.org/t/p/w500/pwtlAQWMXLosi1gLBbdBqy5VT76.jpg,https://www.youtube.com/watch?v=Xk1Qj554JTQ,10
