Nome do filme,Diretor,Avaliação,Número de votos,Sinopse,Gênero,Ano de lançamento,Língua,Link para a capa,Trailer,Duração
Alex Strangelove,Craig Johnson,6.571,1546,"Alex Truelove (Daniel Doheny) é um aluno exemplar do último ano do Ensino Médio. Ele tem um grande futuro pela frente, mas antes de se formar ele quer alcançar o último marco da adolescência: perder a virgindade com a sua namorada, Claire (Madeline Weinstein). Tudo se complica quando ele conhece Elliot (Antionio Marziale), um charmoso menino gay que sem querer põe Alex em uma jornada de autodescoberta.",Comédia,2018,en,https://image.tmdb.org/t/p/w500/6OemqmvthXswt5KFmtXBCMMloJ4.jpg,https://www.youtube.com/watch?v=V-1KhZiQs3U,99
The Seven Deadly Sins - Prisioneiros do Céu,Yasuto Nishikata,7.553,1041,Os Sete Pecados Capitais ajudam o Povo do Céu contra um poderoso grupo de demônios determinado a ressuscitar uma besta demoníaca adormecida há mais de 3.000 anos.,Ação,2018,ja,https://image.tmdb.org/t/p/w500/l42wEOuy387TOUaCV3KEjP9jaBr.jpg,https://www.youtube.com/watch?v=U7MIJyTjAWs,99
O Feitiço do Natal,Bradley Walsh,6.618,1023,"Desencantada com a vida, uma talentosa fotógrafa herda um calendário mágico que parece estar prevendo o futuro... e a ajudando a encontrar o amor!",Romance,2018,en,https://image.tmdb.org/t/p/w500/nK1HlQmh7876NPFXzHqVZQJgYFp.jpg,https://www.youtube.com/watch?v=aPCQPpL9c5w,94
After,Jenny Gage,7.121,8338,"Tessa Young é uma jovem com uma vida simples, ótimas notas na escola, muitos amigos e um bom namorado. Todos os próximos passos de sua vida já estão planejados, mas as coisas mudam quando ela conhece um homem atraente e cheio de segredos sombrios.",Romance,2019,en,https://image.tmdb.org/t/p/w500/u3B2YKUjWABcxXZ6Nm9h10hLUbh.jpg,https://www.youtube.com/watch?v=g99KPOpqZ4Q,106
Casamento Sangrento,Matt Bettinelli-Olpin,7.032,4788,"Grace acaba de se casar com o herdeiro milionário de uma família especializada em jogos de tabuleiro. Antes de realmente integrar a família, no entanto, ela é obrigada a participar de uma tradição familiar: um jogo de esconde-esconde pela mansão dos Le Domas. Aos poucos, Grace percebe que a brincadeira inocente é na verdade uma caçada sangrenta contra a recém-casada, em que todas as armas e golpes são permitidos para assassiná-la. A jovem terá a difícil missão de sobreviver aos ataques até o amanhecer.",Terror,2019,en,https://image.tmdb.org/t/p/w500/vWMXRFvpxxs5p0IKZdqWph10jIn.jpg,https://www.youtube.com/watch?v=h9FZn2Vmc58,95
Entre Facas e Segredos,Rian Johnson,7.843,12843,"Após comemorar 85 anos de idade, o famoso escritor de histórias policiais Harlan Thrombey é encontrado morto dentro de sua propriedade. Logo, o detetive Benoit Blanc é contratado para investigar o caso e descobre que, entre os funcionários misteriosos e a família conflituosa de Harlan, todos podem ser considerados suspeitos do crime.",Comédia,2019,en,https://image.tmdb.org/t/p/w500/eOyvpdTQr5RUb0GKd61lzgKU5uz.jpg,https://www.youtube.com/watch?v=w8GBFvqP1cM,131
O Poço,Galder Gaztelu-Urrutia,6.966,7359,"Nesta instalação, a comida é distribuída de cima para baixo. Quem está nos andares de cima come à vontade. Quem está embaixo fica com fome. Um prato cheio para uma rebelião.",Drama,2019,es,https://image.tmdb.org/t/p/w500/kY0ET33EoiJhjaPCzzvywCDqP6b.jpg,https://www.youtube.com/watch?v=7CxKksqGrbI,95
"O Gângster, o Policial e o Diabo",Lee Won-tae,7.838,1280,"Depois de sobreviver a um ataque violento, um gângster da Coreia do Sul descobre que foi vítima de um serial killer. Para se vingar e recuperar seu prestígio, ele une forças com um policial violento.",Crime,2019,ko,https://image.tmdb.org/t/p/w500/nLNKX18xxW6RpkARYrmxDZvuB8r.jpg,https://www.youtube.com/watch?v=xvE8oahbjcI,109
Como Treinar o Seu Dragão: Volta ao Lar,Tim Johnson,8.025,1013,Soluço e Banguela se reúnem para lembrar as duas espécies do vínculo inseparável entre vikings e dragões.,Animação,2019,en,https://image.tmdb.org/t/p/w500/xZbfgH0pXsv0I3LWYlEc8LSrNcd.jpg,https://www.youtube.com/watch?v=HIbwgbbJzSs,22
Terra à Deriva,郭帆,6.6,1016,"No ano de 2500, a Terra passa por um difícil período de sobrevivência enquanto o sol fica cada vez mais perto de seu desaparecimento completo. Para tentar salvar a raça humana, um destemido grupo de jovens enfrenta o desafio de restabelecer a ordem e embarca em uma viagem para fora do nosso sistema solar.",Ficção científica,2019,zh,https://image.tmdb.org/t/p/w500/lgXQFqjxQSeKZIQV3dmmh6fPOkT.jpg,https://www.youtube.com/watch?v=DzBnJUD4Jm0,126
